Name,Description,Location,Airport
5ive Steak,Restaurant,Marketplace,JFK
800 Degrees Pizza,Pizza,After Security,LAX
A/K Blvd,Grab & Go,After Security,LAX
A/K Blvd,Grab & Go,After Security,LAX
Abitinos Pizza,Pizza,Concourse C,JFK
Abitinos Pizza,Pizza,Concourse C & Food Court,JFK
Abitinos Pizza,Pizza,Food Court,JFK
Abitinos Pizza,Pizza,Gate 40,JFK
Ace Tacos,FastFood,After Security,LAX
AeroNuova,Restaurant,Marketplace,JFK
Angelinaâ€™s Metro Market,Grab & Go,Arrivals,JFK
Apartment 7B,Grab & Go,Food Court,JFK
Apartment 7B,Grab & Go,Near Gate 6,JFK
Arby's,FastFood,Concourse E,ATL
Arrivals Eatery,Grab & Go,Pre-Security,JFK
Artichoke Pizza,Pizza,Food Hall,JFK
Ashland Hill,Bar,After Security,LAX
Ashland Hill,Bar,After Security,LAX
Asian Chao,Asian,Concourse A,ATL
Asian Chao,Asian,Concourse B,ATL
Asian Chao,Asian,Concourse D,ATL
Asian Street Eats,Asian,Before Security,LAX
ATL Market,Grab & Go,Concourse D,ATL
Atlanta Bread & Bar,Bar,Concourse D,ATL
Atlanta Bread & Bar,Bar,Concourse A,ATL
Atlanta Bread & Bar,Bar,Concourse B,ATL
Atlanta Bread & Bar,Bar,Concourse C,ATL
Atlanta Chophouse & Brewery,Bar,Domestic Terminal,ATL
Atlanta Stillhouse,Bar,Concourse T,ATL
Aunt Butchie's Bakery CafÃ©,Grab & Go,Gates 14-15,JFK
AuntieAnne's,FastFood,Domestic Terminal,ATL
AuntieAnne's,FastFood,Concourse T,ATL
AuntieAnne's,FastFood,Concourse B,ATL
AuntieAnne's,FastFood,Concourse C,ATL
AuntieAnne's,FastFood,Concourse D,ATL
B Grill By BOA Steakhouse,Restaurant,After Security,LAX
Barneys Beanery,Bar,After Security,LAX
beaming,Bar,After Security,LAX
Beercode,Bar,Concourse A,ATL
Bento Sushi,Restaurant,Gate B26,JFK
Betcha Burger,Bar,After Security,LAX
BLD,Bar,After Security,LAX
BLU2o,Bar,After Security,LAX
Blue Moon Brewhouse,Bar,Concourse B,ATL
Blue Point Brewery,Restaurant,Near Gate 33,JFK
Blue Point Brewery,Restaurant,Gate B37,JFK
Boar's Head,Bar,Concourse A,ATL
Boar's Head,Bar,Concourse E,ATL
Boardwalk,FastFood,Concourse A,ATL
Bobby Van's Steakhouse,Restaurant,Across from Gate 14,JFK
Bojangle's,FastFood,Concourse T,ATL
Booby's Burguer,Bar,Concourse B,ATL
Border Grill,Restaurant,After Security,LAX
